title,mrp,sellingPrice,specialPrice,productUrl,productBrand,inStock,codAvailable,offers,discount,shippingCharges
Emirates Royale Floral Attar(Floral),249.0,249.0,125.0,http://www.flipkart.com/emirates-royale-floral-attar/p/itmehymjkzjar6rh?pid=ATTEHYMJHFHBZAUV,Emirates,true,true,,40,30.0
Arochem 24 Carat 555 Amber ae hyatt Kala Bhoot Combo Floral Attar(Musk),1150.0,1150.0,395.0,http://www.flipkart.com/arochem-24-carat-555-amber-ae-hyatt-kala-bhoot-combo-floral-attar/p/itmejh8g4pnxuv85?pid=ATTEJH8GDMP9G6HM,Arochem,true,true,,65,50.0
Arochem Romeo Kala Bhoot Combo Floral Attar(Amber),671.0,671.0,225.0,http://www.flipkart.com/arochem-romeo-kala-bhoot-combo-floral-attar/p/itmejh8jg4dukyds?pid=ATTEJH8JHFFEA64T,Arochem,true,true,,68,50.0
Arochem Sukhad Ruh Khus Sufiyaana Aura Combo Floral Attar(Amber),1150.0,1150.0,600.0,http://www.flipkart.com/arochem-sukhad-ruh-khus-sufiyaana-aura-combo-floral-attar/p/itmejh8gacqhgqg3?pid=ATTEJH8GT5KHVGNF,Arochem,true,true,,57,50.0
Al-Nuaim Makkah 011 Floral Attar(Floral),399.0,399.0,103.0,http://www.flipkart.com/al-nuaim-makkah-011-floral-attar/p/itmehydpm92ayggw?pid=ATTEHYDPMXBH9CYK,Al-Nuaim Makkah,true,true,,73,60.0
Al-Rehab Red Rose Floral Attar(Rose),299.0,299.0,249.0,http://www.flipkart.com/al-rehab-red-rose-floral-attar/p/itmekhjgxhyg9jtb?pid=ATTEKHJGN8CFKTDZ,Al-Rehab,true,true,,37,65.0
Al-Rehab Station Floral Attar(Bakul),299.0,299.0,199.0,http://www.flipkart.com/al-rehab-station-floral-attar/p/itmeffzz6vcc2rgn?pid=ATTEFFZZUYEMTWW8,Al-Rehab,true,true,,16,40.0
Al-Nuaim black code 7890 Floral Attar(Floral),399.0,399.0,170.0,http://www.flipkart.com/al-nuaim-black-code-7890-floral-attar/p/itmeh56qbtfvy3g5?pid=ATTEH56QGMYJDA8Z,Al-Nuaim black code,true,true,,68,55.0
Arochem king ous Floral Attar(Sandalwood),299.0,299.0,190.0,http://www.flipkart.com/arochem-king-ous-floral-attar/p/itmejgfhvzzshwkx?pid=ATTEJGFHRGFMZZHB,Arochem,true,true,,52,58.0
Al-Rehab Sultan Al-Oud Floral Attar(Oud (agarwood)),320.0,320.0,200.0,http://www.flipkart.com/al-rehab-sultan-al-oud-floral-attar/p/itmekhrcfwghgg7h?pid=ATTEKHRC8XYGMQ8B,Al-Rehab,true,true,,50,50.0
Vispy The Scent Of Peace LOTUS Floral Attar(Blue Lotus),195.0,195.0,195.0,http://www.flipkart.com/vispy-scent-peace-lotus-floral-attar/p/itmehzfn8r6r7mnw?pid=ATTEHN8J8WC3WHZH,Vispy The Scent Of Peace,true,true,,10,0.0
Vispy The Scent Of Peace MOTIA Floral Attar(Motia/Jasmin),195.0,195.0,195.0,http://www.flipkart.com/vispy-scent-peace-motia-floral-attar/p/itmehnvyyvyfuzzm?pid=ATTEHN83NQBUHSBK,Vispy The Scent Of Peace,true,true,,10,0.0
Vispy The Scent Of Peace FIRDAUS Floral Attar(Jannat ul Firdaus),195.0,195.0,195.0,http://www.flipkart.com/vispy-scent-peace-firdaus-floral-attar/p/itmehzfnxqdrketx?pid=ATTEHN85ZZPNEDN8,Vispy The Scent Of Peace,true,true,,10,0.0
Rockinclay 19492 Floral Attar(Floral),299.0,299.0,199.0,http://www.flipkart.com/rockinclay-19492-floral-attar/p/itmeg64utng9kdan?pid=ATTEG64UHKCKWPGF,Rockinclay,true,true,,40,0.0
AROCHEM GREEN MUSK Herbal Attar(Musk),349.0,349.0,108.0,http://www.flipkart.com/arochem-green-musk-herbal-attar/p/itmegw37nmwyawas?pid=ATTEGW374CSH6ZSW,AROCHEM,true,true,,61,50.0
Al Nuaim Cherry Blast Floral Attar(Fruity),400.0,400.0,119.0,http://www.flipkart.com/al-nuaim-cherry-blast-floral-attar/p/itmez677xy7ehhsg?pid=ATTEZ677HVUCYR96,Al Nuaim,true,true,,12,50.0
Vispy The Scent Of Peace ZUBEIDA Floral Attar(Floral),195.0,195.0,195.0,http://www.flipkart.com/vispy-scent-peace-zubeida-floral-attar/p/itmezz2btekphtbg?pid=ATTEZZ2B7ZGVK7HX,Vispy The Scent Of Peace,true,true,,10,0.0
Vispy The Scent Of Peace DZIRE Floral Attar(Floral),195.0,195.0,195.0,http://www.flipkart.com/vispy-scent-peace-dzire-floral-attar/p/itmezz2bn96nns99?pid=ATTEZZ2BFHPCYEGZ,Vispy The Scent Of Peace,true,true,,10,0.0
Vispy The Scent Of Peace Musk Floral Attar(Gold Musk),195.0,195.0,195.0,http://www.flipkart.com/vispy-scent-peace-musk-floral-attar/p/itmezz2bzz6btbfr?pid=ATTEZZ2BEJHGHGXF,Vispy The Scent Of Peace,true,true,,10,0.0
Vispy The Scent Of Peace KHUS Floral Attar(Woody),195.0,195.0,195.0,http://www.flipkart.com/vispy-scent-peace-khus-floral-attar/p/itmezz2b2wys2hds?pid=ATTEZZ2BZYZXMGFV,Vispy The Scent Of Peace,true,true,,10,0.0
Vispy The Scent Of Peace ICEBLUE Floral Attar(Floral),195.0,195.0,195.0,http://www.flipkart.com/vispy-scent-peace-iceblue-floral-attar/p/itmezz2bghzfvezw?pid=ATTEZZ2BMD6HCDAY,Vispy The Scent Of Peace,true,true,,10,0.0
Vispy The Scent Of Peace SALMA Floral Attar(Floral),195.0,195.0,195.0,http://www.flipkart.com/vispy-scent-peace-salma-floral-attar/p/itmezz2bwm6eudqn?pid=ATTEZZ2BKEGANWXQ,Vispy The Scent Of Peace,true,true,,10,0.0
Vispy The Scent Of Peace LAVENDER Floral Attar(Floral),195.0,195.0,175.0,http://www.flipkart.com/vispy-scent-peace-lavender-floral-attar/p/itmezz2buswhwn6e?pid=ATTEZZ2BTXAP52UG,Vispy The Scent Of Peace,true,true,,10,0.0
Arochem Ethena + Ice blue Herbal Attar(Musk),699.0,699.0,223.0,http://www.flipkart.com/arochem-ethena-ice-blue-herbal-attar/p/itmemnpurnjgmxxm?pid=ATTEMNPUJ5ZDYBGE,Arochem,true,true,,75,50.0
Al Rehab Saat Safa 033 Floral Attar(Floral),499.0,499.0,249.0,http://www.flipkart.com/al-rehab-saat-safa-033-floral-attar/p/itmemw5fjjdzgper?pid=ATTEMW5YJBCKVYZF,Al Rehab Saat Safa,true,true,,63,55.0
Arochem Ice Blue and 555 (Combo Pack) Herbal Attar(Musk),800.0,800.0,202.0,http://www.flipkart.com/arochem-ice-blue-555-combo-pack-herbal-attar/p/itmemt9yj9a4xcgk?pid=ATTEMT8ZXSNXT6MH,Arochem,true,true,,76,65.0
Arochem Diva Herbal Attar(Musk Arabia),399.0,399.0,130.0,http://www.flipkart.com/arochem-diva-herbal-attar/p/itmegw37zswxmpvs?pid=ATTEGW37H6QVBZHN,Arochem,true,true,,74,40.0
Vispy The Scent Of Peace ROSE Floral Attar(Rose),195.0,195.0,175.0,http://www.flipkart.com/vispy-scent-peace-rose-floral-attar/p/itmehgd2edbdcate?pid=ATTEHGD25J3MN5WG,Vispy The Scent Of Peace,true,true,,10,0.0
Arochem Amber Ae Hyatt Herbal Attar(Amber),326.0,326.0,182.0,http://www.flipkart.com/arochem-amber-ae-hyatt-herbal-attar/p/itmegw36rhmqc9k3?pid=ATTEGW36SZUURMBT,Arochem,true,true,,61,65.0
Vispy The Scent Of Peace ATTARFUL Floral Attar(Floral),195.0,195.0,195.0,http://www.flipkart.com/vispy-scent-peace-attarful-floral-attar/p/itmehzfnthufpgbu?pid=ATTEHN86ZPCUHPXE,Vispy The Scent Of Peace,true,true,,10,0.0
Vispy The Scent Of Peace AZZARO Floral Attar(Floral),195.0,195.0,195.0,http://www.flipkart.com/vispy-scent-peace-azzaro-floral-attar/p/itmehnwbb7ydghay?pid=ATTEHN86YDWDMHEG,Vispy The Scent Of Peace,true,true,,10,0.0
Imago Musk aa Floral Attar(Musk),699.0,699.0,376.0,http://www.flipkart.com/imago-musk-aa-floral-attar/p/itmeqwy6eetd4nyw?pid=ATTEQWY6HGPQYFBJ,Imago,true,true,,60,58.0
Imago Gul Hina aa Floral Attar(Gul Hina),699.0,699.0,299.0,http://www.flipkart.com/imago-gul-hina-aa-floral-attar/p/itmeqwy5mfgu6xex?pid=ATTEQWY5KTG6HEHZ,Imago,true,true,,60,58.0
Imago Oud (agarwood) dd Floral Attar(Oud (agarwood)),899.0,899.0,540.0,http://www.flipkart.com/imago-oud-agarwood-dd-floral-attar/p/itmeqwy6b2j2ttwb?pid=ATTEQWXYRW8FEQGK,Imago,true,true,,47,58.0
Imago Musk ee Floral Attar(Musk),899.0,899.0,540.0,http://www.flipkart.com/imago-musk-ee-floral-attar/p/itmeqwy6fm3g6xet?pid=ATTEQWY69BZGEKD8,Imago,true,true,,47,58.0
Imago Gul Hina gg Floral Attar(Gul Hina),899.0,899.0,540.0,http://www.flipkart.com/imago-gul-hina-gg-floral-attar/p/itmeqwy6tpdtya3h?pid=ATTEQWY6ACCNHCUR,Imago,true,true,,47,58.0
Imago Kewda ee Floral Attar(Kewda),899.0,899.0,540.0,http://www.flipkart.com/imago-kewda-ee-floral-attar/p/itmeqwy5napeyahm?pid=ATTEQWY5RHTYDGWU,Imago,true,true,,47,58.0
Imago Gul Hina dd Floral Attar(Gul Hina),899.0,899.0,540.0,http://www.flipkart.com/imago-gul-hina-dd-floral-attar/p/itmeqwy6faf5xfsp?pid=ATTEQWY6WYFAKQZ5,Imago,true,true,,47,58.0
Imago Jannat ul Firdaus aa Floral Attar(Jannat ul Firdaus),699.0,699.0,299.0,http://www.flipkart.com/imago-jannat-ul-firdaus-aa-floral-attar/p/itmeqwy6htydnwhk?pid=ATTEQWY6ZHC8YGSQ,Imago,true,true,,60,58.0
Imago Juhi cc Floral Attar(Juhi),899.0,899.0,499.0,http://www.flipkart.com/imago-juhi-cc-floral-attar/p/itmeqwy5dtnyqjpg?pid=ATTEQWY5C4BRVT8Z,Imago,true,true,,52,58.0
Imago Mogra bb Floral Attar(Mogra),699.0,699.0,299.0,http://www.flipkart.com/imago-mogra-bb-floral-attar/p/itmeqwy5centh2pj?pid=ATTEQWXYVY9HWGWA,Imago,true,true,,53,58.0
Imago Dehn el oud ff Floral Attar(Dehn el oud),899.0,899.0,540.0,http://www.flipkart.com/imago-dehn-el-oud-ff-floral-attar/p/itmeqwy6b4nxgjgg?pid=ATTEQWY6HKAFX7J5,Imago,true,true,,47,58.0
Imago Rose ii Floral Attar(Rose),899.0,899.0,540.0,http://www.flipkart.com/imago-rose-ii-floral-attar/p/itmeqwy5qx9ad4v3?pid=ATTEQWY5Z8ZY4QYR,Imago,true,true,,47,58.0
