title,mrp,sellingPrice,specialPrice,productUrl,productBrand,inStock,codAvailable,offers,discount,shippingCharges
"Spartan Weighing Scale Digital Heavy Duty Portable, Hook Type with Temp, 50Kg Weighing Scale(Multicolor)",465.0,465.0,325.0,http://www.flipkart.com/spartan-weighing-scale-digital-heavy-duty-portable-hook-type-temp-50kg/p/itmf2xwh2f42mgxz?pid=WSLF2WSQSQNBQEZV,Spartan,true,true,,33,0.0
shrines weight scale Weighing Scale(Multicolor),699.0,699.0,347.0,http://www.flipkart.com/shrines-weight-scale-weighing/p/itmf3zt3zx5fnnhg?pid=WSLF3HHVNHVWSKHP,shrines,true,true,,50,58.0
Ellson PORTABLE BLACK WEIGHING SCALE Weighing Scale(Black),999.0,999.0,240.0,http://www.flipkart.com/ellson-portable-black-weighing-scale/p/itmerm6bqgzeefh6?pid=WSLERM6BZEEQHT4R,Ellson,true,true,,75,0.0
vepson 40kg/10g plastic portable digital hanging luggage Weighing Scale(Multicolor),405.0,405.0,320.0,http://www.flipkart.com/vepson-40kg-10g-plastic-portable-digital-hanging-luggage-weighing-scale/p/itmew7zrbazghkem?pid=WSLEW7ZRFEVTQKSS,vepson,true,true,,20,40.0
Weighing Scale Mh-200 Weighing Scale(Silver),949.0,949.0,325.0,http://www.flipkart.com/weighing-scale-mh-200/p/itmf55fztfdw9gz6?pid=WSLF54XSGHQHZZHY,Weighing Scale,true,true,,65,0.0
Granny Smith 50Kg Portable Hanging Luggage Pocket Weight Machine Digital for Weighing Household Items Weighing Scale(Black),999.0,999.0,349.0,http://www.flipkart.com/granny-smith-50kg-portable-hanging-luggage-pocket-weight-machine-digital-weighing-household-items-scale/p/itmf78pshvh7eh2v?pid=WSLF78MYAZUGBAF7,Granny Smith,true,true,,65,0.0
"CONTINENTAL Elasticity Grid it Organizer 056 Multipurpose Bag(Multicolor, 10 inch)",999.0,999.0,359.0,http://www.flipkart.com/continental-elasticity-grid-organizer-056-multipurpose-bag/p/itmf8deexrcjfydm?pid=BAGF8DAWMZ5GF3GC,CONTINENTAL,true,true,,64,0.0
Klick N Shop Digital Pocket Weighing Scale 0.1g To 200g for Jewellery Weighing Scale(Silver),999.0,999.0,320.0,http://www.flipkart.com/klick-n-shop-digital-pocket-weighing-scale-0-1g-200g-jewellery/p/itmf8umxb34yu9zy?pid=WSLF8UJMUPFNK3Y6,Klick N Shop,true,true,,67,49.0
Klick N Shop Pocket Scale Weighing Weighing Scale(Silver),999.0,999.0,320.0,http://www.flipkart.com/klick-n-shop-pocket-scale-weighing/p/itmf8vgnfekgfgh2?pid=WSLF8UJTAGXEWNXP,Klick N Shop,true,true,,67,0.0
Klick N Shop 10gm-50 Kg LED Digital Display Weighing Scale(Black),699.0,699.0,240.0,http://www.flipkart.com/klick-n-shop-10gm-50-kg-led-digital-display-weighing-scale/p/itmf8xzk2njc24ah?pid=WSLF8WQB7YGWCKHM,Klick N Shop,true,true,,65,49.0
VGS MARKETINGS Hanging scale Hand Weighing Scale 50Kg LUGGAGE SCALE Pocket scale Weghing scale Traveller GIFT Black Digital Weighing Scale - 50kg Weighing Scale(Black),399.0,399.0,297.0,http://www.flipkart.com/vgs-marketings-hanging-scale-hand-weighing-50kg-luggage-pocket-weghing-traveller-gift-black-digital/p/itmfa34ejpnnqvrs?pid=WSLFA2MZ3BVAHN9S,VGS MARKETINGS,true,true,,27,0.0
marvellz 0.1 gm to 200 gm mini packet weighing machine Weighing Scale(White),949.0,949.0,349.0,http://www.flipkart.com/marvellz-0-1-gm-200-mini-packet-weighing-machine-scale/p/itmfb2mqzarzeehc?pid=WSLFB2C6VNDMM7Q6,marvellz,true,true,,63,0.0
"Safar Bags Travelling Bag Multipurpose Bag(Red, Black, 10 L)",999.0,999.0,799.0,http://www.flipkart.com/safar-bags-travelling-bag-multipurpose/p/itmfb3azagrhwgyt?pid=BAGFB35RBZS7HF3P,Safar Bags,true,true,,20,40.0
BUYWELL Weighing 50KG Digital Heavy Duty Portable 50Kg Scale for Kitchen and Luggage (WH-A08) Weighing Scale(Black),799.0,799.0,279.0,http://www.flipkart.com/buywell-weighing-50kg-digital-heavy-duty-portable-scale-kitchen-luggage-wh-a08/p/itmfc6u6xfkaaaq5?pid=WSLFC6GDDSSYAUFC,BUYWELL,true,true,,65,0.0
"ECOTARA Marvel Designer Classic Printed Multipurpose Premium Quality Eco Friendly Everyday Useful Travel Bag, Office Bag, Lunch Bag, Hand Bag, Gift Bag With Closing Zipper & Bottle Holder Natural Jute Bag For Mens & Womens (30H cm X 26L cm X 1.5W cm) Multipurpose Bag(Red, 3 L)",649.0,649.0,349.0,http://www.flipkart.com/ecotara-marvel-designer-classic-printed-multipurpose-premium-quality-eco-friendly-everyday-useful-travel-bag-office-lunch-hand-gift-bag-closing-zipper-bottle-holder-natural-jute-mens-womens-30h-cm-x-26l-1-5w-cm/p/itmf85t2nqmcvthz?pid=BAGF84JUVJB9N4TG,ECOTARA,true,true,,46,60.0
"vigor M-1 Black & Purple Multipurpose Bag(Black & Purple, 30 L)",1349.0,1349.0,799.0,http://www.flipkart.com/vigor-m-1-black-purple-multipurpose-bag/p/itmehnfaxhphreyg?pid=BAGEHNFADSAVV2XH,vigor,true,true,,40,65.0
"Be Gracious P01 Multipurpose Bag(Blue, 7 inch)",1500.0,1500.0,1000.0,http://www.flipkart.com/gracious-p01-multipurpose-bag/p/itmeqfjadsmbph95?pid=BAGEQFJ4N7MZ58RF,Be Gracious,true,true,,33,0.0
"vigor M-7 Black & Biege Multipurpose Bag(Black, 25 L)",1499.0,1499.0,799.0,http://www.flipkart.com/vigor-m-7-black-biege-multipurpose-bag/p/itmehnf9v2dwhtqg?pid=BAGEHNF9ZGCD8QXH,vigor,true,true,,46,65.0
"vigor M-13 Black & Parrot Green Multipurpose Bag(Green, 25 L)",1554.0,1554.0,799.0,http://www.flipkart.com/vigor-m-13-black-parrot-green-multipurpose-bag/p/itmehnfaxct2m5g4?pid=BAGEHNFAN5V9ZG9D,vigor,true,true,,48,65.0
